1000 1345
167 168 -7635
168 169 2094
169 170 4669
170 171 -7657
171 172 8165
172 173 3150
173 174 9915
174 175 5029
175 176 3375
176 177 -6482
177 178 -5834
178 179 -2701
179 180 8538
180 181 -4361
181 182 2652
182 183 -1652
183 184 -5587
184 185 7602
185 186 495
186 187 354
187 188 -9798
188 189 6191
189 190 -2191
190 191 7232
191 192 -2791
192 193 -9225
193 194 9416
194 195 -3543
195 196 -4383
196 197 -3793
197 198 5529
198 199 4442
199 200 -1490
200 201 -1704
201 202 4408
202 203 -4053
203 204 -3991
204 205 -3547
205 206 -1835
206 207 -328
207 208 -9700
208 209 5933
209 210 -5887
210 211 7749
211 212 9469
212 213 -4731
213 214 -6746
214 215 -3716
215 216 8825
216 217 3232
217 218 -7988
218 219 9084
219 220 -2205
220 221 8402
221 222 -3226
222 223 864
223 224 484
224 225 1138
225 226 5099
226 227 1836
227 228 208
228 229 -3867
229 230 2620
230 231 6940
231 232 -7027
232 233 3406
233 234 -5693
234 235 -1894
235 236 -4527
236 237 -3573
237 238 3689
238 239 -2905
239 240 2188
240 241 -4510
241 242 -9767
242 243 -3318
243 244 -6395
244 245 1737
245 246 406
246 247 2685
247 248 8983
248 249 -103
249 250 -7192
250 251 -8912
251 252 -4023
252 253 6159
253 254 -7234
254 255 -6089
255 256 7342
256 257 -3482
257 258 1384
258 259 6470
259 260 8675
260 261 67
261 262 1652
262 263 -6741
263 264 9076
264 265 -6905
265 266 -1566
266 267 6512
267 268 -3678
268 269 -5446
269 270 9909
270 271 2102
271 272 5331
272 273 -1049
273 274 -6424
274 275 -2395
275 276 -5445
276 277 -4462
277 278 7660
278 279 4621
279 280 -5624
280 281 127
281 282 3033
282 283 4269
283 284 -4711
284 285 -1728
285 286 -3161
286 287 5674
287 288 -5411
288 289 -5382
289 290 -2700
290 291 -5223
291 292 -2657
292 293 -4708
293 294 -9596
294 295 1933
295 296 -5062
296 297 -9277
297 298 -2858
298 299 -7351
299 300 4664
300 301 -227
301 302 4454
302 303 -533
303 304 2792
304 305 7081
305 306 -8248
306 307 -7608
307 308 -2329
308 309 6737
309 310 -3369
310 311 -5319
311 312 -2196
312 313 411
313 314 -7860
314 315 1397
315 316 8573
316 317 9262
317 318 3754
318 319 -4977
319 320 6837
320 321 -4556
321 322 1217
322 323 6186
323 324 -9033
324 325 -7844
325 326 -9296
326 327 -9200
327 328 -2987
328 329 853
329 330 2323
330 331 7035
331 332 9744
332 333 4586
333 334 7603
334 335 -2019
335 336 631
336 337 -5890
337 338 4648
338 339 -1368
339 340 -5988
340 341 -6958
341 342 -3972
342 343 -5532
343 344 3959
344 345 -6119
345 346 -7450
346 347 3574
347 348 3360
348 349 -8519
349 350 -3997
350 351 -3107
351 352 -6336
352 353 4330
353 354 7143
354 355 -2313
355 356 7699
356 357 2511
357 358 5395
358 359 -3938
359 360 -4806
360 361 6279
361 362 2763
362 363 583
363 364 3915
364 365 -1403
365 366 -9852
366 367 -8409
367 368 762
368 369 -6569
369 370 -6512
370 371 -3856
371 372 -5718
372 373 2730
373 374 -4419
374 375 -1606
375 376 -8250
376 377 -1331
377 378 532
378 379 250
379 380 5094
380 381 -5961
381 382 2791
382 383 -1776
383 384 7127
384 385 -1240
385 386 1969
386 387 8600
387 388 -4936
388 389 -4495
389 390 5440
390 391 6133
391 392 -9566
392 393 -873
393 394 -5414
394 395 -6228
395 396 7264
396 397 -6417
397 398 8256
398 399 803
399 400 3759
400 401 8346
401 402 -890
402 403 3570
403 404 -9579
404 405 7940
405 406 7657
406 407 -484
407 408 4495
408 409 -9348
409 410 -4506
410 411 9258
411 412 -2405
412 413 6258
413 414 6894
414 415 5243
415 416 2585
416 417 6926
417 418 9584
418 419 4147
419 420 7613
420 421 8382
421 422 6061
422 423 8259
423 424 -2016
424 425 -3190
425 426 -873
426 427 -9181
427 428 9431
428 429 -3064
429 430 6797
430 431 -7778
431 432 4114
432 433 7089
433 434 -5941
434 435 -1688
435 436 2298
436 437 1909
437 438 3441
438 439 7152
439 440 -2636
440 441 -7293
441 442 -522
442 443 574
443 444 -762
444 445 -7178
445 446 -673
446 447 103
447 448 6830
448 449 1867
449 450 9785
450 451 6734
451 452 -3965
452 453 -9404
453 454 -1302
454 455 -5921
455 456 -8710
456 457 -1330
457 458 -5995
458 459 1280
459 460 -2572
460 461 -4891
461 462 -4240
462 463 2949
463 464 8860
464 465 8231
465 466 550
466 467 -8844
467 468 -5960
468 469 1037
469 470 3432
470 471 -1445
471 472 3428
472 473 5787
473 474 -9436
474 475 2112
475 476 -475
476 477 -6331
477 478 7437
478 479 4613
479 480 -4065
480 481 -3137
481 482 -4567
482 483 -1302
483 484 -7246
484 485 730
485 486 -8604
486 487 -3955
487 488 4050
488 489 7668
489 490 -7989
490 491 -9450
491 492 3349
492 493 4321
493 494 2110
494 495 -9190
495 496 -2480
496 497 4503
497 498 4869
498 499 3431
499 500 -6846
500 501 -585
501 502 -5335
502 503 -8443
503 504 -6442
504 505 -6743
505 506 -8670
506 507 -2047
507 508 -9969
508 509 -7699
509 510 -4722
510 511 -8116
511 512 6429
512 513 7636
513 514 8385
514 515 8174
515 516 -9486
516 517 -34
517 518 9968
518 519 -2710
519 520 -9281
520 521 7229
521 522 -7469
522 523 1192
523 524 -681
524 525 -6452
525 526 6899
526 527 -4340
527 528 6394
528 529 6257
529 530 8040
530 531 -2081
531 532 4254
532 533 8075
533 534 -7393
534 535 -5939
535 536 3713
536 537 -4356
537 538 -4463
538 539 3194
539 540 -7512
540 541 2548
541 542 -9535
542 543 -3413
543 544 -5040
544 545 2390
545 546 -9091
546 547 6736
547 548 -3582
548 549 -6708
549 550 -1171
550 551 -5750
551 552 -5027
552 553 -8533
553 554 6629
554 555 -7966
555 556 6602
556 557 7590
557 558 -4432
558 559 -3813
559 560 -1984
560 561 -1711
561 562 5460
562 563 88
563 564 -8596
564 565 9477
565 566 -3039
566 567 -6069
567 568 4643
568 569 -7080
569 570 4384
570 571 4214
571 572 6865
572 573 4806
573 574 -3145
574 575 7459
575 576 -1459
576 577 9166
577 578 -2117
578 579 2158
579 580 -2042
580 581 4159
581 582 -7099
582 583 9574
583 584 5118
584 585 -497
585 586 98
586 587 4812
587 588 6701
588 589 5716
589 590 -2526
590 591 -7948
591 592 8367
592 593 -9754
593 594 -1369
594 595 -7316
595 596 -6198
596 597 -155
597 598 4254
598 599 -6844
599 600 -490
600 601 -9078
601 602 6383
602 603 -6276
603 604 -8463
604 605 -1651
605 606 -7507
606 607 3737
607 608 8671
608 609 -3064
609 610 1285
610 611 1831
611 612 -2526
612 613 8772
613 614 -9652
614 615 -7695
615 616 -261
616 617 -2612
617 618 9994
618 619 7931
619 620 6450
620 621 -6101
621 622 -1406
622 623 -1819
623 624 7489
624 625 4175
625 626 8125
626 627 -4643
627 628 9166
628 629 9008
629 630 4828
630 631 -237
631 632 -6150
632 633 -4553
633 634 9934
634 635 2208
635 636 -3842
636 637 -7611
637 638 9257
638 639 -3309
639 640 1510
640 641 -4838
641 642 7222
642 643 3942
643 644 1444
644 645 3597
645 646 8490
646 647 680
647 648 7854
648 649 8804
649 650 -3696
650 651 245
651 652 -6342
652 653 -6880
653 654 -1233
654 655 -4145
655 656 9188
656 657 -1712
657 658 5399
658 659 -1500
659 660 -8519
660 661 -9858
661 662 -8437
662 663 7680
663 664 -8903
664 665 7006
665 666 8979
666 667 -1758
667 668 -1351
668 669 608
669 670 -9187
670 671 -7541
671 672 764
672 673 -5915
673 674 5108
674 675 -9482
675 676 -9595
676 677 768
677 678 7391
678 679 1294
679 680 2037
680 681 7089
681 682 -8930
682 683 6947
683 684 3022
684 685 -2340
685 686 8108
686 687 9137
687 688 -4892
688 689 3904
689 690 -1412
690 691 4834
691 692 -2515
692 693 -4188
693 694 -8296
694 695 -4142
695 696 -8247
696 697 -9627
697 698 2953
698 699 798
699 700 1904
700 701 7901
701 702 8603
702 703 2118
703 704 8535
704 705 5367
705 706 7859
706 707 8664
707 708 -4919
708 709 3936
709 710 -9405
710 711 -2848
711 712 -6979
712 713 1575
713 714 -3820
714 715 5511
715 716 4147
716 717 -8169
717 718 1672
718 719 9258
719 720 3617
720 721 -4505
721 722 6440
722 723 -2606
723 724 1039
724 725 3392
725 726 -5186
726 727 1057
727 728 6338
728 729 -90
729 730 6983
730 731 961
731 732 6701
732 733 -3293
733 734 1148
734 735 -5693
735 736 5450
736 737 4662
737 738 -7908
738 739 -9087
739 740 2984
740 741 -6566
741 742 9880
742 743 -7773
743 744 -5536
744 745 -2444
745 746 -2197
746 747 -4688
747 748 6532
748 749 7641
749 750 -8012
750 751 3432
751 752 -3092
752 753 5764
753 754 -6040
754 755 7504
755 756 86
756 757 5898
757 758 5548
758 759 -6132
759 760 990
760 761 -7437
761 762 -8403
762 763 -8925
763 764 -2251
764 765 7478
765 766 -7455
766 767 -7334
767 768 8309
768 769 9320
769 770 -4448
770 771 7562
771 772 -3185
772 773 5495
773 774 4325
774 775 -7419
775 776 -1690
776 777 -302
777 778 1381
778 779 -675
779 780 7552
780 781 -8923
781 782 -2288
782 783 -7352
783 784 -5107
784 785 -3206
785 786 5207
786 787 8366
787 788 2753
788 789 -7294
789 790 -1672
790 791 -6530
791 792 1464
792 793 -8368
793 794 328
794 795 -3991
795 796 -8394
796 797 9078
797 798 -2474
798 799 -638
799 800 1385
800 801 1082
801 802 -7778
802 803 -5520
803 804 -9648
804 805 1040
805 806 -9339
806 807 -1022
807 808 -5314
808 809 4961
809 810 255
810 811 6049
811 812 -8532
812 813 5872
813 814 -5733
814 815 5035
815 816 -1387
816 817 -2992
817 818 6261
818 819 664
819 820 4137
820 821 -9591
821 822 3358
822 823 -7473
823 824 322
824 825 -2187
825 826 -4083
826 827 5881
827 828 3223
828 829 -6311
829 830 2041
830 831 7968
831 832 -1968
832 833 -2328
833 834 8512
834 835 5577
835 836 742
836 837 -7843
837 838 8735
838 839 -775
839 840 -8193
840 841 -9611
841 842 -9476
842 843 -4429
843 844 6696
844 845 5411
845 846 2756
846 847 -2813
847 848 115
848 849 -5944
849 850 -4722
850 851 -1483
851 852 5237
852 853 -299
853 854 9812
854 855 -1240
855 856 5285
856 857 -9905
857 858 5962
858 859 -9017
859 860 6443
860 861 5755
861 862 -9439
862 863 7315
863 864 -142
864 865 4098
865 866 -3023
866 867 -1121
867 868 -8028
868 869 -5002
869 870 -9661
870 871 5791
871 872 4589
872 873 6162
873 874 1006
874 875 -798
875 876 -4205
876 877 6215
877 878 -7938
878 879 -1439
879 880 9279
880 881 3538
881 882 3835
882 883 -1899
883 884 4851
884 885 -8915
885 886 6439
886 887 -9069
887 888 9758
888 889 -3782
889 890 -2715
890 891 9344
891 892 1337
892 893 3122
893 894 5532
894 895 -7347
895 896 7391
896 897 -8784
897 898 6066
898 899 8124
899 900 -1444
900 901 5559
901 902 -4700
902 903 2365
903 904 -3421
904 905 7896
905 906 -195
906 907 9962
907 908 5360
908 909 2978
909 910 -2037
910 911 -4071
911 912 -2682
912 913 -5507
913 914 4661
914 915 -9305
915 916 1726
916 917 4220
917 918 -2401
918 919 743
919 920 7591
920 921 -5117
921 922 -5583
922 923 9324
923 924 9372
924 925 4955
925 926 2222
926 927 8173
927 928 -8747
928 929 9261
929 930 1004
930 931 7207
931 932 5004
932 933 4895
933 934 -86
934 935 -1597
935 936 5646
936 937 -701
937 938 -6126
938 939 -1664
939 940 1379
940 941 -4375
941 942 5257
942 943 884
943 944 -1518
944 945 -1328
945 946 3598
946 947 -7208
947 948 4780
948 949 -8216
949 950 1614
950 951 2731
951 952 5215
952 953 6545
953 954 234
954 955 2528
955 956 -72
956 957 8231
957 958 1679
958 959 5207
959 960 5431
960 961 -5627
961 962 4144
962 963 -1914
963 964 6416
964 965 1811
965 966 -7103
966 967 5397
967 968 967
968 969 1049
969 970 -6693
970 971 -4992
971 972 -1161
972 973 -6431
973 974 -4371
974 975 -9832
975 976 1641
976 977 -2462
977 978 5811
978 979 855
979 980 4012
980 981 4171
981 982 -3388
982 983 -1507
983 984 8629
984 985 2753
985 986 -6754
986 987 4557
987 988 7540
988 989 -9579
989 990 4635
990 991 -2109
991 992 7176
992 993 -5321
993 994 -6848
994 995 -5532
995 996 6162
996 997 9539
997 998 -5808
998 999 6773
999 1000 7321
1 969 -377
2 729 5817
4 955 -1282
7 899 -6513
12 339 5730
13 610 -7140
14 684 1359
15 777 9789
18 846 -5912
19 83 8453
20 978 -3370
21 684 -3267
22 278 -7762
23 696 -682
28 955 9354
39 481 -4389
41 987 -7295
42 853 1657
43 200 9908
44 543 -7201
45 686 618
48 14 -8237
50 549 1323
52 749 -3158
53 318 -7216
59 503 8922
62 460 -9148
64 264 9
65 241 5706
68 722 2872
70 129 -5288
73 746 -8638
74 938 1258
75 43 6955
80 441 4048
84 59 -5954
85 385 5498
91 475 -1271
92 638 6209
97 410 -3057
98 622 -5030
103 852 9008
104 145 2251
105 512 -7258
107 912 -2819
108 510 -4436
111 687 7231
114 145 7325
119 123 676
121 892 -429
122 32 -7139
123 275 -1634
127 483 -6716
129 919 6774
130 194 -9361
132 267 -6815
134 948 3602
138 445 -8111
146 914 -4584
148 91 6774
150 780 6381
152 932 -7596
161 711 -1270
167 192 -7370
173 280 392
175 926 5303
176 505 6202
177 75 7040
178 584 4720
184 164 7323
193 793 -7411
199 139 245
200 31 2900
203 47 1171
204 37 9240
205 124 -9214
206 704 3956
207 40 2854
208 722 -6882
210 395 1954
212 317 -933
215 151 -9925
216 384 -6742
219 331 5818
224 738 -4736
226 342 6514
231 18 4234
232 368 -4946
233 724 -2342
235 304 6383
236 778 -8146
237 869 -6408
239 987 8420
242 832 -510
244 985 2971
248 193 -478
253 895 680
255 865 -721
256 236 6881
258 86 8274
260 106 -1887
261 550 3108
267 868 3286
269 327 5752
270 681 -6151
281 861 -9089
283 223 -4959
287 180 3331
291 835 8660
296 753 -696
297 489 -1836
300 774 -1684
301 1000 -2051
303 226 1407
305 69 1590
306 587 8538
307 105 -2647
313 868 -3401
316 430 -4753
317 558 4121
320 849 8175
321 157 -2049
322 448 -7510
329 310 -9347
331 381 1903
334 778 -3834
339 728 -7892
341 3 6036
342 63 -178
346 338 6664
347 91 6423
358 90 2972
360 112 -2561
366 156 -9884
370 860 -9417
377 861 -3426
380 308 3235
384 478 -3929
385 301 6648
386 932 354
387 524 7781
388 495 -6306
398 560 1329
399 756 -3839
402 901 2873
405 931 -6381
406 448 4134
408 965 9530
415 177 -5494
416 37 -4142
418 87 -7833
424 320 -2103
426 210 3392
427 952 -2474
429 997 -8107
430 375 -2298
437 326 329
438 614 -8788
442 624 -9588
446 750 8991
450 372 3875
461 681 -8384
462 182 -7044
467 131 -3551
469 194 2134
470 839 8461
471 737 -7074
479 998 -1938
482 446 3232
483 100 8248
487 341 -3803
489 687 5591
490 922 360
491 314 4027
494 283 894
498 12 5685
500 622 -5016
503 839 -9510
505 260 7075
511 540 9563
512 601 290
513 132 8683
514 368 -2202
536 792 2565
537 387 3461
538 986 1830
539 928 895
540 925 2406
541 868 -5377
545 490 -2345
548 55 -7537
551 619 9093
553 9 -8708
554 299 -1659
558 772 2748
560 875 -8862
562 782 -6200
563 571 -5099
565 278 953
571 751 9324
572 939 3907
574 264 -8123
578 502 -5568
581 282 1074
589 370 5759
590 973 871
592 900 -5100
593 983 -8867
596 237 -2192
597 742 -2067
599 600 -3519
601 733 1413
602 597 1560
609 489 7137
615 116 331
619 14 9839
620 7 6318
624 70 7987
626 115 -1275
627 927 -9384
632 703 -6781
635 537 -4974
637 980 -8840
638 8 -4811
640 8 6138
641 397 5934
644 878 6444
648 315 9452
651 83 6961
654 65 -7614
659 408 -3765
664 718 -6643
668 190 3454
670 644 -346
671 624 1382
675 767 -6506
676 747 -446
679 776 8115
684 318 -9963
690 629 4876
693 311 -7660
697 638 8988
699 155 104
702 697 5836
703 775 2327
704 902 4917
708 374 -7676
711 312 4025
714 726 5488
716 401 9739
718 116 -8220
720 436 -5407
723 50 6036
728 356 2048
729 455 958
734 109 -3274
735 407 8090
736 576 8859
737 485 -1881
738 478 6569
739 881 7858
742 53 -2202
743 389 8889
744 370 9970
748 904 8928
751 918 -5035
752 629 -6620
753 404 9343
755 523 -616
761 605 -449
762 416 5788
765 63 7263
766 640 -4843
767 16 156
772 588 1527
777 90 605
778 896 -8956
785 921 2073
791 618 -9977
793 127 1285
795 408 -3779
797 365 -7458
804 81 -9521
813 628 7748
815 807 -7367
818 202 1722
821 235 -8123
823 699 -1013
829 611 1984
833 292 -8081
837 96 -6083
841 820 5747
843 651 8134
845 616 -7241
848 659 1555
852 628 4992
853 678 -4971
856 846 5534
857 233 4644
859 872 -3081
865 158 231
870 947 7047
874 617 1405
875 890 -3099
879 114 -7855
883 310 4545
886 374 -4913
892 543 292
897 621 -4483
915 818 -1539
916 808 -5427
919 264 -3922
920 447 5757
926 873 1643
927 925 9808
930 131 1866
931 334 -6906
933 400 -738
936 160 2433
939 768 7593
943 666 3414
945 831 -1988
946 54 7079
948 372 -9881
949 565 -8493
952 688 -3569
955 106 -5079
958 78 653
959 975 -1443
961 628 692
965 751 8895
966 843 7344
974 652 9510
976 839 9991
977 504 -7096
982 503 73
984 290 3572
985 448 -6443
986 664 761
987 557 1333
989 717 1375
991 688 5387
993 163 -6602
994 80 9430
995 480 8423
997 485 -1338
